id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
633,female,group B,bachelor's degree,standard,completed,66,74,81
283,female,group D,bachelor's degree,free/reduced,none,73,79,84
377,female,group D,some high school,standard,none,80,90,82
385,female,group A,some high school,free/reduced,none,38,43,43
225,female,group B,associate's degree,standard,completed,52,66,73
954,male,group C,high school,standard,completed,58,52,54
815,female,group C,high school,standard,none,72,80,83
473,female,group C,associate's degree,standard,completed,68,86,84
348,female,group C,bachelor's degree,standard,completed,77,94,95
506,female,group B,some high school,standard,none,82,82,80
640,female,group D,associate's degree,standard,none,76,74,73
988,male,group E,some high school,standard,completed,81,75,76
929,male,group E,associate's degree,free/reduced,completed,46,43,44
906,male,group D,some college,standard,none,88,77,77
620,male,group C,associate's degree,free/reduced,completed,65,73,68
856,female,group B,bachelor's degree,standard,none,97,97,96
804,female,group B,some college,standard,none,82,85,87
646,female,group B,bachelor's degree,standard,completed,65,81,81
847,male,group C,master's degree,standard,completed,91,85,85
557,female,group C,associate's degree,standard,completed,55,72,79
958,female,group D,master's degree,standard,none,92,100,100
578,female,group B,high school,standard,none,81,91,89
796,female,group E,associate's degree,free/reduced,completed,57,68,73
86,female,group C,some college,standard,none,73,80,82
243,female,group D,high school,standard,none,56,52,55
699,female,group D,associate's degree,standard,completed,57,78,79
160,male,group D,associate's degree,free/reduced,none,66,62,64
525,male,group C,high school,standard,completed,53,52,49
36,male,group E,associate's degree,standard,completed,81,81,79
541,male,group C,high school,standard,completed,75,69,68
171,male,group A,high school,standard,completed,72,73,74
655,female,group B,some high school,standard,none,73,79,79
891,female,group E,some college,standard,completed,86,85,91
858,female,group C,bachelor's degree,standard,none,65,79,81
848,male,group D,high school,standard,none,64,54,50
945,female,group B,high school,standard,none,58,68,61
734,male,group D,some high school,standard,none,55,47,44
96,male,group C,associate's degree,free/reduced,completed,78,81,82
564,female,group D,some college,free/reduced,completed,63,80,80
241,male,group D,high school,free/reduced,completed,73,68,66
743,female,group C,high school,standard,none,81,84,82
575,female,group E,high school,standard,none,74,81,71
691,female,group C,associate's degree,standard,none,49,53,53
461,male,group C,bachelor's degree,free/reduced,none,53,58,55
554,male,group D,some college,free/reduced,none,77,62,64
889,female,group D,some college,free/reduced,none,69,65,74
207,male,group E,bachelor's degree,standard,none,82,62,62
393,male,group E,some college,standard,none,76,67,67
795,female,group B,high school,standard,none,42,52,51
398,female,group C,associate's degree,standard,none,85,89,95
767,female,group C,high school,standard,completed,58,75,77
849,female,group C,high school,standard,none,59,72,68
218,female,group C,high school,free/reduced,none,34,42,39
5,male,group C,some college,standard,none,76,78,75
769,female,group D,some high school,standard,none,68,71,75
643,female,group B,some high school,free/reduced,none,72,81,79
930,female,group C,some high school,free/reduced,none,48,56,51
613,male,group C,bachelor's degree,standard,completed,94,90,91
739,male,group D,associate's degree,standard,none,81,71,73
547,female,group A,some high school,standard,completed,92,100,97
726,male,group E,some college,standard,completed,81,74,71
684,female,group C,some high school,free/reduced,completed,29,40,44
99,female,group D,some college,free/reduced,none,58,67,62
805,female,group C,some college,standard,none,73,76,78
728,male,group E,some high school,standard,completed,68,51,57
574,female,group C,high school,free/reduced,completed,50,66,64
407,male,group B,associate's degree,standard,completed,65,65,63
503,male,group C,some college,free/reduced,none,63,61,54
48,female,group C,high school,standard,none,66,71,76
33,female,group E,master's degree,free/reduced,none,56,72,65
780,male,group E,associate's degree,standard,completed,94,85,82
840,female,group C,associate's degree,standard,none,66,77,73
201,female,group C,associate's degree,standard,completed,67,84,86
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75
28,female,group C,bachelor's degree,standard,none,67,69,75
881,male,group C,bachelor's degree,standard,completed,63,64,66
231,male,group D,some college,standard,none,76,64,66
490,male,group A,associate's degree,free/reduced,completed,79,82,82
773,female,group B,some high school,free/reduced,completed,52,67,72
379,female,group A,some high school,standard,none,71,83,77
289,male,group B,bachelor's degree,free/reduced,none,88,75,76
419,male,group D,some college,standard,none,68,59,62
675,female,group D,high school,standard,completed,69,77,78
392,female,group D,some college,standard,none,77,68,77
593,male,group E,bachelor's degree,standard,none,68,68,64
499,female,group B,some high school,standard,none,66,69,68
139,female,group C,associate's degree,standard,none,59,66,67
63,male,group A,associate's degree,free/reduced,none,62,61,55
472,female,group C,high school,standard,none,63,69,74
648,female,group E,high school,free/reduced,none,64,62,68
129,male,group D,master's degree,standard,none,82,82,74
977,male,group B,some college,free/reduced,completed,60,62,60
521,male,group D,some college,standard,none,71,49,52
839,male,group B,associate's degree,free/reduced,completed,58,57,53
963,female,group E,associate's degree,standard,none,100,100,100
65,female,group D,some high school,standard,none,59,58,59
813,female,group C,master's degree,standard,completed,54,64,67
15,female,group A,master's degree,standard,none,50,53,58
157,female,group E,high school,free/reduced,completed,66,74,78
41,male,group C,associate's degree,free/reduced,none,55,61,54
493,female,group C,some college,standard,none,83,83,90
380,male,group A,bachelor's degree,standard,none,66,64,62
188,male,group D,some high school,standard,completed,62,66,68
764,female,group B,high school,standard,none,62,62,63
217,female,group E,associate's degree,free/reduced,completed,83,86,88
792,female,group D,some college,free/reduced,none,60,66,70
53,male,group C,some college,standard,none,53,44,42
879,female,group D,some high school,standard,none,59,72,80
338,male,group C,associate's degree,standard,none,49,51,43
749,female,group C,bachelor's degree,free/reduced,none,50,60,59
720,male,group E,associate's degree,free/reduced,completed,91,73,80
725,male,group B,some college,standard,none,47,43,41
296,male,group B,associate's degree,free/reduced,none,67,62,60
702,female,group B,some high school,standard,none,57,67,72
252,female,group D,some college,free/reduced,none,71,83,83
727,female,group E,associate's degree,standard,completed,65,75,77
462,male,group B,some college,free/reduced,none,54,54,45
456,male,group C,bachelor's degree,free/reduced,none,37,56,47
997,male,group C,high school,free/reduced,none,62,55,55
816,male,group B,some high school,standard,completed,94,86,87
863,male,group D,bachelor's degree,free/reduced,completed,39,42,38
270,female,group E,some college,free/reduced,none,71,76,70
202,female,group D,some college,free/reduced,none,65,81,77
162,female,group E,some college,free/reduced,completed,75,88,85
556,female,group C,some college,free/reduced,none,32,39,33
730,male,group C,some college,standard,none,53,39,37
402,male,group A,some college,standard,none,53,43,43
703,male,group A,bachelor's degree,standard,completed,87,84,87
477,male,group E,bachelor's degree,standard,completed,76,62,66
822,female,group D,bachelor's degree,free/reduced,none,78,90,93
772,male,group D,bachelor's degree,standard,none,75,73,74
106,female,group C,some college,standard,none,58,67,72
566,male,group B,associate's degree,standard,none,48,43,45
390,male,group D,master's degree,standard,none,73,70,75
2,female,group C,some college,standard,completed,69,90,88
938,female,group E,high school,free/reduced,none,57,58,57
983,male,group B,some high school,standard,completed,79,85,86
562,female,group C,some college,standard,none,63,74,74
81,female,group B,associate's degree,standard,none,47,49,50
206,male,group D,some high school,standard,completed,74,71,78
35,male,group E,some college,standard,none,97,87,82
776,female,group B,some high school,free/reduced,none,49,58,55
509,male,group C,master's degree,standard,none,79,78,77
428,male,group C,some high school,free/reduced,none,69,71,65
455,female,group C,associate's degree,free/reduced,none,53,61,62
367,male,group C,high school,standard,completed,69,58,53
92,male,group C,high school,free/reduced,none,27,34,36
340,female,group D,some high school,free/reduced,completed,35,55,60
898,female,group B,some high school,free/reduced,completed,63,78,79
565,male,group B,bachelor's degree,free/reduced,none,48,51,46
346,female,group C,high school,standard,none,72,80,75
777,female,group B,high school,standard,none,66,72,70
242,female,group E,bachelor's degree,standard,none,80,83,83
14,male,group A,some college,standard,completed,78,72,70
316,male,group C,high school,standard,none,71,66,65
601,female,group D,master's degree,standard,none,54,60,63
388,female,group C,associate's degree,free/reduced,none,57,78,67
274,female,group D,some college,standard,none,65,70,71
167,male,group C,high school,free/reduced,completed,53,51,51
841,female,group D,high school,free/reduced,none,39,52,46
993,female,group D,associate's degree,free/reduced,none,55,76,76
647,female,group D,associate's degree,standard,none,59,70,65
819,female,group B,high school,free/reduced,none,60,72,68
485,female,group B,associate's degree,standard,none,49,52,54
981,female,group B,high school,free/reduced,none,8,24,23
505,female,group D,master's degree,free/reduced,none,40,59,54
832,female,group C,bachelor's degree,free/reduced,completed,74,86,89
244,male,group E,some college,standard,none,59,51,43
567,female,group E,bachelor's degree,free/reduced,completed,92,100,100
876,male,group C,some college,free/reduced,none,80,64,66
563,male,group C,bachelor's degree,standard,completed,96,90,92
687,male,group E,some college,standard,completed,85,75,68
190,female,group C,bachelor's degree,standard,none,77,88,87
783,female,group B,high school,free/reduced,completed,76,85,82
700,male,group C,high school,free/reduced,none,66,66,59
476,female,group D,bachelor's degree,standard,completed,71,76,83
682,male,group B,high school,standard,none,60,68,60
511,male,group D,some college,standard,none,76,71,73
59,male,group D,some college,standard,completed,58,59,58
475,female,group B,associate's degree,standard,completed,90,90,91
561,female,group D,some college,standard,completed,74,75,79
857,male,group B,some college,free/reduced,none,75,68,65
748,male,group C,some college,standard,none,69,64,68
253,female,group B,some high school,standard,completed,60,70,70
22,female,group B,some college,free/reduced,completed,65,75,70
314,female,group C,associate's degree,free/reduced,completed,68,67,69
460,male,group B,high school,standard,completed,72,65,68
161,male,group B,associate's degree,free/reduced,completed,82,78,74
277,female,group C,some high school,standard,completed,85,92,93
956,male,group E,associate's degree,standard,none,72,57,62
192,male,group D,some college,standard,completed,76,83,79
386,female,group E,some college,standard,none,67,76,75
806,male,group A,some college,free/reduced,none,75,81,74
414,male,group B,some high school,standard,completed,63,67,67
492,female,group C,associate's degree,standard,none,64,64,70
344,male,group D,associate's degree,standard,completed,67,72,67
770,male,group A,some college,free/reduced,none,58,60,57
309,female,group B,associate's degree,free/reduced,none,53,71,67
662,male,group C,some high school,standard,none,73,66,63
131,male,group D,master's degree,standard,none,89,84,82
664,female,group C,high school,standard,none,65,69,67
872,female,group C,some college,standard,completed,70,72,76
100,female,group D,bachelor's degree,standard,none,65,67,62
373,male,group D,some high school,standard,none,74,74,72
88,female,group D,associate's degree,standard,none,71,71,74
459,female,group E,bachelor's degree,standard,none,100,100,100
331,male,group C,high school,standard,none,71,60,61
215,male,group E,high school,standard,completed,87,91,81
467,female,group D,associate's degree,free/reduced,none,26,31,38
122,male,group B,associate's degree,standard,completed,91,89,92
615,female,group A,associate's degree,standard,none,82,93,93
21,male,group D,high school,standard,none,66,69,63
701,female,group E,bachelor's degree,standard,completed,79,81,82
72,male,group D,some college,standard,completed,63,55,63
107,female,group D,master's degree,standard,none,87,100,100
271,male,group C,bachelor's degree,standard,none,69,63,61
861,female,group C,associate's degree,standard,none,53,62,53
436,male,group C,some college,free/reduced,completed,50,48,53
103,female,group D,associate's degree,standard,none,85,91,89
